condition,tone_hz,puppet,hostname,device,band_125_db,band_250_db,band_500_db,band_750_db,band_1000_db,band_1500_db,band_2000_db,band_4000_db,band_8000_db,broadband_db,n_frames,duration_s
tone,750,P1,Puppet-1,"plughw:1,0",-55.26,-64.92,-65.59,-32.05,-67.79,-72.17,-63.19,-64.5,-85.09,-25.82,259,6.0
tone,750,P2,Puppet-2,"plughw:1,0",-53.08,-63.07,-63.85,-29.87,-68.43,-65.69,-61.55,-62.98,-83.66,-23.65,259,6.0
tone,750,P3,Puppet-3,"plughw:1,0",-54.13,-64.54,-64.65,-29.17,-69.78,-66.72,-63.64,-66.38,-82.87,-22.97,258,6.0
tone,750,P4,Puppet-4,"plughw:1,0",-52.51,-63.82,-64.03,-27.32,-66.91,-71.71,-60.76,-66.08,-85.39,-21.11,259,6.0
tone,1000,P1,Puppet-1,"plughw:1,0",-57.87,-64.8,-67.01,-65.9,-38.13,-72.0,-62.9,-64.48,-84.9,-29.28,259,6.0
tone,1000,P2,Puppet-2,"plughw:1,0",-56.13,-63.24,-65.52,-65.25,-38.48,-65.65,-61.39,-62.87,-83.61,-29.6,259,6.0
tone,1000,P3,Puppet-3,"plughw:1,0",-57.3,-64.78,-66.64,-67.48,-41.69,-67.16,-63.59,-66.39,-82.95,-32.74,258,6.0
tone,1000,P4,Puppet-4,"plughw:1,0",-55.42,-63.74,-66.87,-65.97,-43.63,-72.14,-60.64,-65.98,-85.11,-34.44,259,6.0
tone,1500,P1,Puppet-1,"plughw:1,0",-57.48,-65.0,-66.82,-66.37,-68.78,-35.76,-62.69,-64.35,-85.13,-23.55,258,6.0
tone,1500,P2,Puppet-2,"plughw:1,0",-55.29,-63.18,-65.25,-65.37,-69.96,-36.02,-61.35,-63.01,-83.63,-23.89,259,6.0
tone,1500,P3,Puppet-3,"plughw:1,0",-57.04,-64.91,-66.74,-67.56,-72.35,-38.47,-63.67,-66.43,-82.66,-26.39,259,6.0
tone,1500,P4,Puppet-4,"plughw:1,0",-55.37,-64.01,-66.87,-66.27,-69.14,-39.13,-60.62,-66.03,-85.16,-26.91,259,6.0
tone,2000,P1,Puppet-1,"plughw:1,0",-58.22,-65.38,-67.11,-66.14,-69.35,-72.3,-46.8,-64.36,-85.27,-29.51,259,6.0
tone,2000,P2,Puppet-2,"plughw:1,0",-55.82,-63.03,-65.41,-65.28,-70.3,-65.67,-44.58,-62.99,-83.71,-27.16,259,6.0
tone,2000,P3,Puppet-3,"plughw:1,0",-57.46,-64.85,-66.83,-67.46,-72.7,-67.09,-45.55,-66.24,-82.73,-28.01,259,6.0
tone,2000,P4,Puppet-4,"plughw:1,0",-55.21,-64.25,-66.52,-65.74,-69.05,-72.04,-44.49,-66.01,-85.17,-27.25,259,6.0
tone,4000,P1,Puppet-1,"plughw:1,0",-56.39,-64.88,-66.66,-66.5,-69.07,-71.84,-62.98,-53.4,-84.97,-29.0,259,6.0
tone,4000,P2,Puppet-2,"plughw:1,0",-54.88,-63.4,-65.49,-65.41,-70.18,-65.25,-61.02,-53.18,-83.63,-29.15,258,6.0
tone,4000,P3,Puppet-3,"plughw:1,0",-56.12,-64.52,-66.53,-67.58,-72.52,-66.73,-63.22,-46.49,-82.55,-20.55,259,6.0
tone,4000,P4,Puppet-4,"plughw:1,0",-54.06,-63.71,-66.58,-65.93,-69.19,-72.03,-60.3,-49.23,-85.29,-23.63,259,6.0
tone,8000,P1,Puppet-1,"plughw:1,0",-57.94,-65.05,-66.66,-66.26,-68.7,-72.4,-63.02,-64.49,-65.85,-33.28,259,6.0
tone,8000,P2,Puppet-2,"plughw:1,0",-55.6,-63.15,-65.38,-65.55,-70.23,-65.44,-61.26,-62.89,-71.2,-38.35,259,6.0
tone,8000,P3,Puppet-3,"plughw:1,0",-57.07,-64.7,-66.72,-67.49,-72.33,-66.69,-63.19,-66.05,-74.21,-41.76,259,6.0
tone,8000,P4,Puppet-4,"plughw:1,0",-54.48,-63.33,-66.57,-65.87,-69.36,-72.15,-60.52,-66.32,-73.54,-40.14,258,6.0
